Store,Date,Temp,Fuel_Price,CPI,Unemployment,IsHoliday,customerCost
1,2/5/2010,MILD,2.572,211.0963582,9.106,False,542.9398332904
1,2/12/2010,MILD,2.548,211.24216980000003,9.106,True,538.2450486504001
1,2/19/2010,MILD,2.5140000000000002,211.2891429,9.106,False,531.1809052506001
1,2/26/2010,MILD,2.5610000000000004,211.3196429,9.106,False,541.1896054669
1,3/5/2010,MILD,2.625,211.3501429,9.106,False,554.7941251125001
1,3/12/2010,WARM,2.667,211.3806429,9.106,False,563.7521746143
1,3/19/2010,WARM,2.72,211.21563500000002,9.106,False,574.5065272
1,3/26/2010,WARM,2.7319999999999998,211.0180424,9.106,False,576.5012918368
1,4/2/2010,WARM,2.719,210.82044989999997,8.808,False,573.2208032780999
1,4/9/2010,WARM,2.77,210.62285740000002,8.808,False,583.4253149980001
1,4/16/2010,WARM,2.8080000000000003,210.4887,8.808,False,591.0522696
1,4/23/2010,WARM,2.795,210.4391228,8.808,False,588.177348226
1,4/30/2010,WARM,2.78,210.3895456,8.808,False,584.8829367679999
1,5/7/2010,WARM,2.835,210.33996839999998,8.808,False,596.3138104139999
1,5/14/2010,WARM,2.8539999999999996,210.3374261,8.808,False,600.3030140893999
1,5/21/2010,WARM,2.826,210.6170934,8.808,False,595.2039059484
1,5/28/2010,HOT,2.759,210.89676060000002,8.808,False,581.8641624954
1,6/4/2010,HOT,2.705,211.1764278,8.808,False,571.232237199
1,6/11/2010,HOT,2.668,211.4560951,8.808,False,564.1648617268
1,6/18/2010,HOT,2.637,211.4537719,8.808,False,557.6035965003
1,6/25/2010,HOT,2.653,211.33865260000002,8.808,False,560.6814453478
1,7/2/2010,HOT,2.6689999999999996,211.2235333,8.787,False,563.7556103776999
1,7/9/2010,HOT,2.642,211.108414,8.787,False,557.748429788
1,7/16/2010,HOT,2.623,211.10038540000002,8.787,False,553.7163109042001
1,7/23/2010,HOT,2.608,211.2351443,8.787,False,550.9012563344
1,7/30/2010,HOT,2.64,211.36990319999995,8.787,False,558.0165444479999
1,8/6/2010,HOT,2.627,211.5046621,8.787,False,555.6227473367
